,Midi #,Binding
0,36,Empty
1,37,Empty
2,38,Empty
3,39,Empty
4,40,Empty
5,41,Empty
6,42,Empty
7,43,Empty
8,44,Empty
9,45,Empty
10,46,Empty
11,47,Empty
12,48,Empty
13,49,Empty
14,50,Empty
15,51,Empty
16,52,Empty
17,53,Empty
18,54,Empty
19,55,Empty
20,56,Empty
21,57,Empty
22,58,Empty
23,59,Empty
24,60,R
25,61,Empty
26,62,A
27,63,Empty
28,64,C
29,65,E
30,66,Empty
31,67,C
32,68,Empty
33,69,A
34,70,Empty
35,71,R
36,72,SPACEBAR
37,73,Empty
38,74,Empty
39,75,Empty
40,76,Empty
41,77,Empty
42,78,Empty
43,79,Empty
44,80,Empty
45,81,Empty
46,82,Empty
47,83,Empty
48,84,Empty
49,85,Empty
50,86,Empty
51,87,Empty
52,88,Empty
53,89,Empty
54,90,Empty
55,91,Empty
56,92,Empty
57,93,Empty
58,94,Empty
59,95,Empty
60,96,Empty
